Reference|Sample|Age|Age_sigma|Latitude|Longitude|Location|GeodynamicContext|SiO2|TiO2|Al2O3|Cr2O3|FeOT|MnO|MgO|CaO|Na2O|K2O|NiO|P2O5|Nb|Ta|Rb|Fe2_FeT|Fe2O3_TiO2|SiO2_Primary|TiO2_Primary|Al2O3_Primary|Cr2O3_Primary|Fe2O3_Primary|FeO_Primary|MnO_Primary|MgO_Primary|CaO_Primary|Na2O_Primary|K2O_Primary|NiO_Primary|P2O5_Primary|T_OL|T_p|OL_Mg|F_AFM|Pi|Pf|Residual_Mineralogy
WANG et al.,2007|s.HK-93|260||21.2277|104.1673|EMEISHAN / SONG DA DISTRICT|CONTINENTAL FLOOD BASALT|48.45|0.75|11.89||8.59|0.15|10.69|11.82|2.94|0.03||0.17|5.68|0.36|0.72|0.960710128055879|0.5|49.4821432025865|0.690793374883168|10.9174584727894||0.343894857803529|8.78308436720885|0.155261068192129|15.8708501857131|10.8769681948151|2.69613568517967|0.027511588624282||0.155899002204267|1365.78600936975|1457.74806891954|0.913355077733721|0.258227714125613|3.5|1|Harzburgite
FREZZOTTI et al.,2007|s.ER 03 05|0.15|0.05|41.53|13.28|APENNINIC-MAGHREBIDES CHAIN / APENNINE / UMBRIA-LATIUM-ABRUZZO DISTRICT / MONTI ERNICI|CONVERGENT MARGIN|49.98|0.85|15.32||7.82|0.16|7.01|13.33|2.61|0.76||0.24|8||313|0.951086956521739|0.5|49.129889207669|0.721537317346681|12.9406980245031||0.358522833089305|8.19685512019396|0.167154572321996|14.1329180695853|11.3070897318732|2.20175198673667|0.641123183877345||0.202459952803372|1329.84293741481|1412.42334944456|0.909999262746576|0.198678494939733|3|1.5|Spinel Peridotite
FREZZOTTI et al.,2007|s.ER 04 19|0.15|0.05|41.53|13.28|APENNINIC-MAGHREBIDES CHAIN / APENNINE / UMBRIA-LATIUM-ABRUZZO DISTRICT / MONTI ERNICI|CONVERGENT MARGIN|48.06|0.9|16.89||8.5|0.17|7.26|12.93|1.44|1||0.19|8||36|0.952352941176471|0.5|47.4579422280591|0.734014852496141|13.6933019474058||0.364121824529658|8.93184024368004|0.176293379217979|15.9820502873324|10.5323454628055|1.16518983849491|0.809159610065907||0.153740325912522|1358.75941225437|1460.63085998121|0.913212080192469|0.229419362681877|3.5|1.5|Spinel Peridotite
FREZZOTTI et al.,2007|s.SC 3|0.45|0.25|41.53|13.28|APENNINIC-MAGHREBIDES CHAIN / APENNINE / UMBRIA-LATIUM-ABRUZZO DISTRICT / MONTI ERNICI|CONVERGENT MARGIN|51.27|0.88|14.39||8.09|0.15|7.48|12.84|1.52|2.27||0.2|6.15|0.42|113|0.951050679851669|0.5|49.6145538325544|0.726292595303232|11.8135695037991||0.360645927265507|8.35707535884582|0.153700439800101|15.1172647668335|10.586494735168|1.24586774873539|1.86060512475614||0.163929966938867|1350.07747098765|1438.15711003287|0.912696104646805|0.289996021476035|3.5|1|Harzburgite
TRUMBULL et al.,2007|s.RD324|122.5|22.5|-21.75|15.4|ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / HENTIES-BAY - OUTJO DIKE SWARM|CONTINENTAL FLOOD BASALT|49.3|0.71|16.6||8.4|0.16|7.6|12.6|2.13|0.36||0.07|5||0|0.961964285714286|0.5|48.3059911445761|0.580737852607836|13.5006542554962||0.288179666049244|8.82181711969304|0.164462408483801|15.966536698741|10.2934801639695|1.72907799629546|0.292238534585149||0.056824159502668|1359.51421565936|1460.2288048752|0.913437922114232|0.259274621440786|3.5|1.5|Harzburgite
NICHOLSON & LATIN 1992|s.KK105|1E-05||65.72|-16.73|ICELAND / ICELAND / KRAFLA / ATLANTIC OCEAN|OCEAN ISLAND|49.08|1.01|15.04||10.11|0.18|8.31|12.97|1.41|0.09||0.09|5|||0.955044510385757|0.5|47.2117650998802|0.742621485788298|10.9779850337148||0.36721565152487|10.1825653010611|0.176442711394987|19.6690933790529|9.51612740505899|1.02529518544568|0.065444373539086||0.065444373539086|1420.62606400676|1555.03871895518|0.919233829400656|0.302263871445648|4-5|2|Harzburgite
NICHOLSON & LATIN 1992|s.KK140|1E-05||65.72|-16.73|ICELAND / ICELAND / KRAFLA / ATLANTIC OCEAN|OCEAN ISLAND|48.4|0.93|16.34||9.56|0.17|8.48|13.23|1.83|0.07||0.09|4|||0.956223849372385|0.5|46.9310782413254|0.732427842973897|12.791691104616||0.363137228809242|9.62484519110549|0.16914543802403|17.430768629532|10.4028351723658|1.42912070692669|0.054665819390639||0.070284624930821|1383.8211349464|1497.99812042325|0.914802413498946|0.214423734967168|3.5|2|Spinel Peridotite
WANG et al.,2007|s.05SC72-8|825||28.5917|112.3483|CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / HUNAN PROVINCE / LENGJIAXI GROUP - YIYANG BASALT|INTRAPLATE VOLCANICS|49.3|0.56|11.7||9.09|0.18|14.4|10.4|0.51|0.43||0.04|3.86|0.28|16.6|0.972277227722772|0.5|50.2890310430384|0.539566915998499|11.2565893614876||0.269119724059229|9.14681435401936|0.183436212830867|17.3584166641033|10.0151066902555|0.490182354536453|0.413291004805244||0.038445674865604|1371.62235162069|1496.14028775024|0.913402585129736|0.327773565496492|3.5|1|Harzburgite
WANG et al.,2007|s.05SC74-5|825||28.5598|112.3375|CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / HUNAN PROVINCE / LENGJIAXI GROUP - YIYANG BASALT|INTRAPLATE VOLCANICS|49.5|0.57|11.6||8.72|0.15|14.1|10.4|1.18|0.1||0.04|3.83|0.28|2.35|0.970584862385321|0.5|50.8396860249427|0.563369240623784|11.4530094014531||0.281214495478939|8.79848169309553|0.154232697854991|16.3323524541987|10.2751868553972|1.16432668303561|0.098671752799628||0.039468701119851|1356.92962335624|1469.69863830828|0.91166288283282|0.309786712721514|3.5|1|Harzburgite
WANG et al.,2007|s.05SC74-7|825||28.5598|112.3375|CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / HUNAN PROVINCE / LENGJIAXI GROUP - YIYANG BASALT|INTRAPLATE VOLCANICS|49.4|0.53|12.2||9.36|0.16|13.4|10.9|0.37|0.61||0.04|3.68|0.27|20|0.974519230769231|0.5|49.7029151125597|0.482575602363961|11.0798692940221||0.240255343617264|9.4127771799361|0.160741924045284|18.0807291066413|9.91538001987241|0.335450857125992|0.553040602288797||0.036264957527134|1384.67064158254|1514.64818018761|0.915118595251769|0.333321004957495|4|1|Harzburgite
MORAND 1993|s.31644|387.5|28.5|-23.65|150.64|AUSTRALIA / TASMAN OROGEN / QUEENSLAND / YARROL-TAMWORTH BELT - CAPELLA CREEK FORMATION|INTRAPLATE VOLCANICS|50.45|1.1|17.95||7.21|0.18|5.69|12.5|2.21|0.23||0.2|2||4|0.931345353675451|0.5|49.5244952758445|0.924610529853441|15.0068251731961||0.459197555490413|7.77129321301459|0.193665602838862|13.4123237706315|10.5034406127766|1.84513926842511|0.192028068659627||0.166980929269241|1307.98306132547|1393.48166381009|0.90846485590403|0.233088057818868|3|1|Harzburgite
MORAND 1993|s.31718|387.5|28.5|-24.4|150.51|AUSTRALIA / TASMAN OROGEN / QUEENSLAND / YARROL-TAMWORTH BELT - MOUNT HOLLY FORMATION|INTRAPLATE VOLCANICS|50.75|0.73|16.35||7.82|0.13|7.15|12.75|1.48|0.08||0.07|0||1|0.957992327365729|0.5|49.8597444052776|0.608830273238779|13.5608093484115||0.302229623984697|8.41096541363057|0.135947349417192|15.1492050219199|10.6225855857771|1.22547902328042|0.066242109366509||0.057961845695695|1333.96949970203|1438.98939695203|0.910485447094727|0.276657190854182|3|1|Harzburgite
WOLDE et al.,1996|s.B-20|825|60|5.625|38.9|ARABIAN-NUBIAN SHIELD - NEOPROTEROZOIC / ETHIOPIA / ADOLA BELT|INTRAPLATE VOLCANICS|48.7|0.17|18.5||9.18|0.19|7.64|12.8|1.5|0.09||0.06|0.76|0.05|4.24|0.991666666666667|0.5|46.9097993971573|0.12737460849806|13.7622559752385||0.063039671704567|9.75746574231665|0.189283414131503|18.3939811042204|9.57308881246791|1.11246479478648|0.066747887687189||0.044498591791459|1398.15182106211|1522.64742214826|0.917594489533117|0.28195853748649|4|2|Harzburgite
SIGURDSSON et al.,1978|s.HS-620(23)|0.7||64.84|-19.47|ICELAND / ICELAND / RJUPNAFELL / ATLANTIC OCEAN|OCEAN ISLAND|46.3|1.38|13.1||8.72|0.18|12.8|10.9|1.66|0.15||0.15||||0.928784403669725|0.5|48.1880249363318|1.38487564360169|13.1328186753958||0.691405772940843|8.51772142962053|0.18764542931063|14.998606624178|10.9349082785278|1.66338200446638|0.150305602813227||0.150305602813227|1338.19176207888|1435.06366059548|0.911397943627551|0.222068849508166|3.2|1.5|Spinel Peridotite
TANI et al.,2008|s.3K575-R4|1.3|1.3|31.5|140|IZU-BONIN ARC / IZU ARC / SUMISUJIMA / PACIFIC OCEAN|CONVERGENT MARGIN|49.8|0.49|16.1||8.487|0.15|8.35|12.6|2.17|0.04||0.05|0.4||0.5|0.974019088016967|0.5|48.7111932841341|0.404881252892436|13.2332325654549||0.20100471425234|8.88024576382121|0.152446272040053|16.1647905076932|10.3980397041596|1.78032746909215|0.032817096204464||0.04102137025558|1361.09156373457|1465.36377053879|0.913379322747173|0.266690144976357|3.5|1.2|Harzburgite
POLAT et al.,2007|s.485458|3080||64.7484|-49.8638|NORTH ATLANTIC CRATON_ARCHEAN / GREENLAND - IVISAARTOQ GREENSTONE BELT|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|48.52|0.57|14.16||10.88|0.22|9.45|13.18|1.62|0.16||0.04|1.29|0.11|2.7|0.976424632352941|0.5|46.5851855932618|0.413070188737852|10.1904910598972||0.204209540322541|10.7766293904257|0.209777967017758|20.7867771951432|9.52978410594114|1.1607700186755|0.114643952461778||0.028660988115444|1444.04715538746|1583.20625886361|0.920160296723662|0.27086085692939|5|3.5|Garnet Peridotite
POLAT et al.,2007|s.485465|3080||64.7484|-49.8638|NORTH ATLANTIC CRATON_ARCHEAN / GREENLAND - IVISAARTOQ GREENSTONE BELT|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|48.22|0.57|13.15||11.54|0.26|10.4|13.06|1.33|0.15||0.03|0.95|0.08|4.6|0.977772963604853|0.5|46.316497075646|0.406823346612158|9.32306712896442||0.201013748236685|11.1729804541201|0.243108307724363|21.9720662962637|9.29942343247673|0.938064158437863|0.105796709598255||0.021159341919651|1462.7233047619|1612.84827349764|0.922061533081138|0.286604885150382|5.5|4|Garnet Peridotite
MANYA et al.,2004|s.R38|2740|40|-3.155|32.44|TANZANIA CRATON_ARCHEAN / SUKUMALAND GREENSTONE BELT / RWAMAGAZA BASALT|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|48.85|0.71|16.1||9.11|0.24|6.54|13.6|2.06|0.17||0.07|1.98|0.2|2.26|0.964928649835346|0.5|47.3254949623727|0.526712707222223|11.8500284135429||0.260469616227697|9.77713666458996|0.245679228049699|18.2552431525799|10.071685629151|1.51145749134945|0.12473192889777||0.051360206016729|1400.74097231824|1519.10662634876|0.91676802268711|0.263675364201038|4|2|Spinel Peridotite
MANYA et al.,2004|s.R75|2740|40|-3.155|32.44|TANZANIA CRATON_ARCHEAN / SUKUMALAND GREENSTONE BELT / RWAMAGAZA BASALT|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|49.67|0.86|13.77||10.34|0.17|6.46|13.98|1.27|0.08||0.06|2.3|0.4|2.9|0.962541620421754|0.5|47.1158866853822|0.556160661332124|8.81733542373166||0.273881179662511|10.8751034457238|0.166238703000712|22.2814683212253|9.01659124221111|0.808237311289289|0.050912586537908||0.038184439903431|1463.61801690311|1620.54703222086|0.924000075652049|0.359146357131821|5.5|3|Harzburgite
XU et al.,2003|s.X-38-1|380||47.85|88.2|CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / XINJIANG PROVINCE|INTRAPLATE VOLCANICS|46.83|1.01|16.94||9.05|0.16|10.51|11.28|1.75|0.12||0.08|0.6|0.04|0|0.949779005524862|0.5|46.944393259995|0.902209817525092|15.0819362856414||0.449025869872858|8.9620802609647|0.162021240268614|15.6978964057501|10.0665745901762|1.55603024213367|0.106699216603451||0.071132811068968|1352.40427862848|1453.26022527294|0.911980472683454|0.183712120375995|3.4|2|Spinel Peridotite
HANDLEY et al.,2008|s.PV17|5.5E-06|4.5E-06|-16.4975|168.3185|NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / LOPEVI / PACIFIC OCEAN|CONVERGENT MARGIN|49.79|0.65|15.77||9.45|0.17|8.49|12.64|1.9|0.64||0.14|0.95|0.08|10|0.969047619047619|0.5|47.6654633629763|0.498869465983416|12.0263156491521||0.247167105612793|9.5994074049971|0.167409967511588|18.072854796353|9.68433426882202|1.44497692512094|0.486729069514422||0.10647198395628|1399.89414938169|1514.44688841453|0.916916428397025|0.288203681885814|4|1.5|Harzburgite
ROUCHON et al.,2008|s.89X|1.305|1.295|41.28|13.98|APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / ROCCAMONFINA|CONVERGENT MARGIN|49.48|0.77|14.46||7.92|0.14|9.77|12.04|1.45|2.47||0.21|7.88|0.63|106.5|0.95625|0.5|49.1724804874735|0.704798704652084|13.200178664099||0.351177117894312|7.8928544263035|0.142207525498153|13.7554642431578|11.0136661116917|1.32261511934221|2.2530064446726||0.191551155215079|1325.7097980567|1402.51240244455|0.910903492784554|0.245139099703891|3|1.2|Spinel Peridotite
CONTICELLI et al.,2009|s.RMN 14|0.155||41.2839|13.9842|APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / ROCCAMONFINA / POST-CALDERA STAGE|CONVERGENT MARGIN|47.65|0.91|16.99||8.761|0.16|9.35|12.03|1.36|1.86||0.27|16|0.95|177|0.953258760415478|0.5|46.9105075060506|0.791198704661728|14.7163625141422||0.393628079405165|8.69286982891417|0.160992407079085|14.8652960212614|10.4498878019494|1.17655865492533|1.60911698394199||0.233581497668999|1344.9916911499|1431.5853960409|0.910526158474384|0.149229630439637|3.2|2|Spinel Peridotite
KRUK et al.,2008|s.8-787|387.5|28.5|52|87|CENTRAL ASIAN FOLDBELT - PALEOZOIC / SIBERIA - PALEOZOIC / GORNY ALTAI / SANGAN FORMATION|INTRAPLATE VOLCANICS|48.83|0.91|14.03||7.99|0.15|9.78|11.41|0.66|0.5||0.29|5.9|0.4|2|0.94874843554443|0.5|50.2769693252518|0.848474139452187|13.0395029039467||0.422385911690865|8.29535345104267|0.157971444660859|14.9840445587988|10.6292332718556|0.612691652123013|0.464160342517434||0.269212998660112|1328.37635845353|1434.68386070908|0.909466436876388|0.291090521137767|3.2|1|Harzburgite
GOLDSTEIN & FRANCIS 2008|s.DY-18|2700||48.78|-85.03|SUPERIOR PROVINCE_ARCHEAN / WAWA GREENSTONE BELT / WHITE RIVER-DAYOHESSARAH BELT / DAYOHESSARAH ASSEMBLAGE|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|45.51|0.4927|9.33||10.92|0.193|19.01|9.19|0.885|0.05||0.025|1|0.05|0|0.979696428571429|0.5|47.0352149913246|0.47315667640397|8.95076622985793||0.235900027892478|10.9210132198444|0.195441619824351|22.4476443703394|8.82158530503746|0.847459000141438|0.047879039556013||0.023939519778007|1467.11273387233|1624.67530301842|0.924305939793089|0.361596957745198|5.6|3.5|Harzburgite
GELDMACHER et al.,2008|s.67-499B-10-01, 40-47|24||12.6705|-90.9447|MIDDLE AMERICA TRENCH - GUATEMALA TRENCH / MIDDLE AMERICA TRENCH (GUATEMALA TRENCH) - TRENCH AXIS / SITE 499 / PACIFIC OCEAN|CONVERGENT MARGIN|49.9|0.96|15.6||8.12|0.14|8.53|12|2.35|0.1||0.08|0.54|0.05|0.73|0.94679802955665|0.5|49.4449736743742|0.839120766882113|13.5795788247954||0.417313620675249|8.27090549246626|0.144057362305855|14.6248676700885|10.4795920461032|2.0430979345559|0.086940337640677||0.069552270112542|1333.88679095113|1425.30472799765|0.910706604928067|0.248137504046325|3.1|1|Harzburgite
TRUMBULL et al.,2004|s.349|129.5|13.5|-21.56|15.38|ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / HENTIES-BAY - OUTJO DIKE SWARM|CONTINENTAL FLOOD BASALT|46.9|0.97|13.8||9.965|0.18|12.3|11|1.48|0.2||0.13||||0.956196688409433|0.5|47.142657630369|0.84540206745748|11.9848434213802||0.420284065089268|9.79144128539281|0.17958340504567|18.492207911877|9.57509741377702|1.28251632233426|0.173313016531657||0.112653460745577|1403.68008199728|1525.15235898937|0.917568864548185|0.283392281921474|4|2|Harzburgite
TRUMBULL et al.,2004|s.352A|129.5|13.5|-21.54|15.4|ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / HENTIES-BAY - OUTJO DIKE SWARM|CONTINENTAL FLOOD BASALT|46.6|0.96|13.9||9.983|0.18|12|11.3|1.41|0.23||0.13||||0.956726434939397|0.5|46.9077300876785|0.829657635645112|11.9673518687346||0.412304719088322|9.83989862336048|0.179754103635393|18.5900668677435|9.75286244247577|1.21114511232195|0.197562677896488||0.111665861419754|1404.87133806904|1527.6463031811|0.917923909335513|0.281555347896103|4|2|Harzburgite
TRUMBULL et al.,2004|s.377|129.5|13.5|-22.66|14.9|ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / HENTIES-BAY - OUTJO DIKE SWARM|CONTINENTAL FLOOD BASALT|47.7|0.68|13||9.332|0.17|13.8|10.6|1.42|0.52||0.09|4|0.48|19|0.967209601371624|0.5|48.2926255037028|0.640018195785558|12.2129540242114||0.319054597895229|9.25939364788908|0.171632749780623|17.2292263859902|9.97015126613531|1.33252214415066|0.487965855604467||0.084455628854619|1381.6222923995|1492.8207903231|0.915241891535333|0.285942722295339|3.7|1.2|Harzburgite
WANG et al.,2008|s.05BK62|815|5|33|105.5|CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / GANSU PROVINCE / BIKOU BASALT|INTRAPLATE VOLCANICS|48.4|0.46|12.2||8.76|0.15|11.7|11|2.15|0.02||0.31|12|1.06|0.12|0.976369863013699|0.5|49.6051066277657|0.425462921050505|11.2512353827052||0.211807086217244|9.06998431121462|0.154720202925608|16.8334237130862|10.164426825388|1.97993580594381|0.018418007497152||0.285479116205851|1377.84185086059|1482.63332926631|0.91404692844559|0.292309778531845|3.6|1|Harzburgite
DMITRIEV 1982|s.66-487-20-1, 113-115|8.45|3.15|15.8535|-99.1753|MIDDLE AMERICA TRENCH - GUATEMALA TRENCH / MIDDLE AMERICA TRENCH (GUATEMALA TRENCH) - SEAWARD / SITE 487 / PACIFIC OCEAN|CONVERGENT MARGIN|48.2|0.87|17.1|0|8.548|0.11|7.94|12.67|2.08|0.1||0.04||||0.954199812821713|0.5|47.6846793657191|0.729631190649371|14.2673235397489||0.362340830239698|8.84674562237234|0.113236537706124|15.5330582817836|10.6137969464196|1.73257224574384|0.083296742583839||0.033318697033535|1349.11156205711|1448.97829129385|0.911670277705562|0.195342036550613|3.3|1.7|Spinel Peridotite
DMITRIEV 1982|s.66-487-20-1, 45-49|14.15|8.85|15.8535|-99.1753|MIDDLE AMERICA TRENCH - GUATEMALA TRENCH / MIDDLE AMERICA TRENCH (GUATEMALA TRENCH) - SEAWARD / SITE 487 / PACIFIC OCEAN|CONVERGENT MARGIN|48.6|0.93|16.4|0.06|8.547|0.13|9.23|12.78|1.91|0.1||0.07||||0.951035451035451|0.5|47.9725105027099|0.812779473926241|14.2784884966252|0.056092806440175|0.404351372813475|8.54784709868841|0.131687242486225|14.8285887611717|11.1589427280375|1.66088413349191|0.086957284476016||0.060870099133211|1333.44960182341|1430.62712681908|0.910452223744371|0.188276939148136|3.2|1.6|Spinel Peridotite
DMITRIEV 1982|s.66-487-20-2, 80-84|14.15|8.85|15.8535|-99.1753|MIDDLE AMERICA TRENCH - GUATEMALA TRENCH / MIDDLE AMERICA TRENCH (GUATEMALA TRENCH) - SEAWARD / SITE 487 / PACIFIC OCEAN|CONVERGENT MARGIN|47.9|0.88|16.7|0.05|9.046|0.16|9.44|12.82|1.87|0.074||0.09||||0.956223745301791|0.5|47.1139359851865|0.752218787894954|14.2154828334007|0.046032063537295|0.373981664122147|9.0234447923347|0.160620971030422|15.6389340329355|10.9465336313204|1.58942207251913|0.062896916238725||0.07649624947953|1350.22641503695|1451.72910769629|0.911226807865988|0.158628883342305|3.4|2|Spinel Peridotite
 LOPEZ-MORO et al.,2007|s.751/5|436||39.2|-6.6|EUROPEAN OROGENIC BELT - PALEOZOIC / IBERIAN PENINSULA / SPAIN|INTRAPLATE VOLCANICS|48.63|1.3|15.17||8.81|0.17|7.77|12.68|2.44|0.14||0.15|4.7|0.4|7|0.933598183881952|0.5|48.0504586647515|1.07450136962132|12.4689964090586||0.533270914782739|8.97131476718833|0.175328638983758|16.0189279757663|10.4674634177599|2.0018169724152|0.114858350876282||0.123062518796017|1363.08384447331|1461.58643161352|0.912873085928292|0.222474706426732|3.4|1.5|Spinel Peridotite
